GardenSize,OverallQual,ExterQual,BsmtQual,TotalBsmtSF,HeatingQC,GrLivArea,FullBath,HalfBath,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,GarageCond,WoodDeckSF,OpenPorchSF,MS_zoning_RL,ModernityInYears
10178,9,5,5,1104,5,2184,2,1,5,10,1,3,3,0,102,1,1
9601,3,3,2,978,3,1699,2,0,3,7,0,2,2,0,74,1,39
10160,5,3,3,1040,5,1040,1,0,3,5,0,1,3,0,0,1,43
8621,7,4,4,884,5,2035,2,1,4,8,1,2,3,144,48,1,9
8035,7,3,3,815,5,1690,1,0,3,7,1,1,3,0,0,0,56
3749,7,4,4,1314,5,1314,2,0,4,6,1,2,3,172,62,1,1
10659,6,4,3,702,4,1743,1,2,3,7,1,2,3,224,0,1,39
12213,7,4,5,1104,5,2127,2,1,4,8,1,3,3,72,192,1,16
4751,5,3,3,780,5,1716,2,0,2,9,0,0,0,0,184,1,8
5013,7,4,4,1358,5,1358,2,0,4,6,1,2,3,192,35,1,0
9924,5,3,3,372,3,1109,1,0,3,5,0,1,3,35,0,1,2
1008,6,3,3,672,3,1218,1,1,3,7,0,0,0,201,0,0,35
2974,6,3,4,1069,3,1069,2,0,3,4,0,2,3,0,55,1,31
7417,5,3,3,864,4,864,1,0,3,5,1,1,3,0,0,1,44
7920,5,3,3,1008,3,1053,1,1,5,6,0,2,3,0,80,1,15
14946,5,3,4,1390,3,1701,2,0,3,6,2,2,3,0,0,1,26
7120,5,3,3,1056,2,1056,1,0,3,6,0,1,3,0,0,1,15
4657,3,3,3,1162,5,1163,1,0,3,6,0,1,3,142,98,0,1
7303,7,4,4,813,5,1665,2,1,4,7,0,2,3,0,0,0,1
11670,6,3,3,684,4,1196,1,0,4,7,0,2,3,0,46,1,9
1978,7,4,4,673,5,1382,2,1,4,6,0,2,3,153,50,0,6
8718,7,3,3,1304,4,1682,2,0,3,7,1,2,3,98,0,1,38
2603,5,3,4,547,4,1072,1,0,3,5,0,2,3,0,28,0,1
8255,5,3,4,990,5,990,1,0,3,5,0,2,3,0,0,1,13
24940,7,4,4,1210,5,2519,2,1,4,9,2,2,3,320,27,1,16
9840,7,4,4,799,5,1661,2,1,4,6,1,2,3,158,61,1,13
7670,6,3,3,1248,3,1350,1,1,3,6,0,2,3,176,0,1,44
8080,6,3,3,1156,5,1520,1,0,3,7,2,1,3,0,0,1,38
1504,7,4,4,764,5,1626,2,0,4,6,0,2,3,0,27,1,5
9456,6,2,3,1440,5,3395,2,0,2,14,0,0,0,0,110,0,12
11561,7,4,4,991,5,1947,2,1,4,8,1,2,3,0,136,0,5
6292,5,3,3,1098,3,1098,1,0,3,6,0,1,3,0,0,1,53
8462,6,3,3,1328,3,1328,1,1,3,6,2,2,3,0,26,1,47
9429,8,4,5,1709,5,1717,2,0,4,7,1,3,3,169,39,1,3
7987,7,3,3,1026,5,1820,2,0,3,8,0,1,3,0,100,1,58
5351,5,3,2,920,5,954,1,0,2,5,1,1,3,0,0,1,57
8550,5,3,3,1050,4,1050,1,0,3,5,0,1,3,0,0,1,53
7068,7,4,4,783,5,1509,2,1,4,8,1,2,3,0,75,1,3
7540,7,4,4,1274,5,1274,2,0,4,6,0,2,3,264,98,1,0
8636,7,4,4,1517,5,1535,2,0,4,7,0,2,3,0,0,1,6
9363,6,3,4,1032,3,1032,2,0,3,6,1,2,3,0,0,1,29
10179,6,3,3,854,3,1991,1,1,3,7,1,2,2,0,0,1,57
7844,4,3,3,1056,3,1056,1,0,3,5,0,1,3,0,42,0,40
33929,10,4,5,1930,5,3627,3,1,4,10,1,3,3,361,76,1,10
3586,5,3,3,440,3,694,1,0,4,4,1,1,3,0,0,1,5
10912,6,3,3,1728,3,1728,2,0,3,8,0,2,3,40,0,1,30
8676,7,4,4,1588,5,1588,2,0,4,6,0,2,3,158,29,1,7
8621,5,3,4,1389,4,1389,1,0,3,6,1,2,3,240,38,1,31
2660,7,4,4,600,5,1200,2,1,4,4,0,2,3,0,166,0,1
10791,7,3,4,808,3,1969,2,1,3,8,1,2,3,0,0,1,30
2608,8,4,4,1074,5,1088,1,1,4,5,0,2,3,0,74,1,21
8295,5,3,3,1276,3,1276,1,0,3,5,0,1,3,0,0,1,51
10123,9,4,5,1800,5,1800,2,0,5,7,0,2,3,288,136,1,2
11979,10,5,3,1237,4,2775,3,1,4,9,1,2,3,105,502,0,8
6160,5,3,0,0,3,1040,1,0,3,5,0,2,3,0,0,1,56
9476,8,4,4,1814,5,1826,2,0,4,7,1,3,3,180,75,1,0
9866,9,5,5,1822,5,1828,2,0,4,9,1,3,3,0,108,1,0
10258,7,4,4,930,4,1886,2,1,4,10,1,2,3,89,0,1,7
9066,5,3,4,1056,5,1074,1,1,3,6,0,2,3,0,88,1,31
8962,6,3,3,780,3,1611,1,1,3,7,0,2,3,328,128,1,44
20566,5,3,3,720,3,1271,2,0,3,7,1,1,3,0,0,1,58
7444,5,3,3,861,5,1367,1,0,3,7,0,1,3,0,130,1,58
19308,7,3,4,791,4,2093,2,1,3,7,1,2,3,364,63,1,17
14659,5,3,3,864,5,864,1,0,3,5,1,1,3,0,0,1,37
2603,6,3,4,547,4,1072,2,0,3,5,0,2,3,0,44,0,0
7054,6,4,4,783,5,1509,2,1,4,7,1,2,3,100,75,1,3
861,4,3,4,630,5,630,1,0,3,3,0,0,0,96,24,0,38
7072,7,4,4,1616,5,1616,2,0,4,7,0,3,3,208,59,1,1
9216,5,3,3,1073,3,1073,1,1,3,6,0,2,3,0,0,1,42
12911,5,3,3,996,5,996,1,0,3,6,1,0,0,144,0,1,39
11481,4,3,3,861,5,861,1,0,3,4,0,2,3,158,0,1,59
6625,7,4,4,560,5,1135,1,0,4,6,0,2,3,256,0,1,2
10738,10,5,5,1700,5,1718,2,0,5,7,1,3,3,216,48,1,2
9156,7,2,3,925,3,1889,1,1,3,9,1,1,3,0,0,0,57
8060,5,3,3,1144,3,1144,1,1,3,6,0,1,3,0,88,1,45
5116,5,3,3,884,5,1348,1,0,3,5,1,1,3,0,0,0,12
12304,6,3,3,1073,5,1811,1,0,5,6,1,2,3,0,0,1,2
2069,8,4,4,1247,5,1247,1,1,4,4,1,2,3,0,84,0,1
9441,7,3,4,980,3,1714,2,1,3,7,1,2,3,228,66,1,22
9615,6,5,4,1184,5,1414,1,0,3,6,1,2,3,0,51,1,6
8468,5,3,3,616,3,1111,1,0,3,5,0,1,2,48,0,1,58
12960,5,3,3,1152,3,1152,1,0,3,6,1,2,3,227,0,1,46
15457,6,3,4,1362,3,1586,2,0,3,7,1,2,3,192,0,1,11
15189,9,5,5,2216,5,2234,2,0,5,9,1,3,3,0,60,1,0
7267,4,3,3,858,3,858,1,0,3,5,0,0,0,0,0,1,35
7947,5,3,3,833,5,833,1,0,3,5,0,0,0,0,0,1,24
7435,6,4,4,1682,5,1700,2,0,4,7,0,2,3,192,23,1,3
7956,6,3,3,1416,3,1644,1,0,3,7,2,2,3,110,0,1,56
10217,6,3,3,1383,3,1383,1,1,3,7,0,1,3,0,45,1,46
7733,7,4,4,992,5,2060,2,1,4,8,1,2,3,0,0,1,10
2129,7,4,4,1373,5,1555,2,0,4,7,1,3,3,143,20,1,2
7251,6,3,3,1012,3,1012,1,0,3,6,1,1,3,0,22,0,57
8175,5,3,3,925,5,925,1,0,3,5,0,1,3,0,0,1,44
7359,7,4,4,1414,5,1414,2,0,4,6,0,2,3,132,105,1,6
7457,3,2,3,1013,3,1526,1,0,2,6,0,0,0,0,0,0,27
6681,5,3,3,1626,5,1712,2,0,3,8,0,2,3,272,54,1,1
7651,4,3,0,0,5,1126,2,0,4,5,0,2,3,0,96,1,6
7911,5,3,2,636,3,1750,1,0,5,8,0,1,1,0,0,0,15
5214,6,4,3,698,3,1176,1,0,3,4,0,2,3,210,0,0,9
9740,8,4,4,1406,5,1936,2,1,4,7,1,2,3,188,124,1,6
6482,4,3,3,858,3,858,1,0,3,4,0,1,3,0,0,1,36
14532,8,4,4,1079,5,1919,2,1,4,8,1,2,3,0,51,1,0
6202,7,3,2,596,5,1762,1,1,4,8,0,2,3,36,0,0,56
6468,6,3,3,864,5,864,1,0,4,4,0,1,3,168,0,1,47
1684,7,4,4,764,5,1626,2,1,4,6,0,2,3,0,27,1,4
12460,7,4,4,1204,4,2183,2,1,4,9,0,3,3,0,0,1,18
5502,6,3,4,768,3,790,1,0,3,4,0,1,3,0,141,1,58
6783,5,3,3,1148,3,1148,1,0,3,6,0,1,3,0,0,1,50
9382,7,3,3,803,3,1964,2,1,3,8,1,2,3,0,69,1,32
4267,8,3,3,588,2,1666,1,0,4,7,1,1,3,192,63,0,12
7400,5,4,4,985,3,985,2,0,3,6,0,1,3,210,0,1,31
6840,7,4,4,1358,5,1358,2,0,4,6,1,2,3,192,30,0,4
3578,6,4,4,848,5,848,1,0,4,3,0,2,3,160,0,0,6
4005,8,4,4,1501,5,1659,2,0,5,5,1,2,3,212,59,1,9
9798,8,4,5,2046,5,2046,2,1,4,7,1,3,3,322,82,1,1
9324,7,4,4,992,5,1865,2,1,4,7,1,3,3,0,184,1,8
10443,6,3,3,844,4,2134,2,0,4,10,0,2,3,0,60,1,15
8528,7,4,4,1347,5,2646,2,1,4,9,1,3,3,340,60,1,16
8532,7,4,4,1552,5,1552,2,0,4,7,0,3,3,144,20,1,0
7983,5,3,4,864,3,902,1,0,3,5,0,2,3,164,0,1,23
12056,5,3,3,912,3,912,1,0,3,4,0,1,3,140,0,1,46
30114,6,3,3,1080,2,1656,1,0,3,7,2,2,3,210,62,1,50
17914,6,3,3,1362,3,1382,1,0,3,6,1,2,3,0,0,1,47
6380,5,3,0,0,3,2020,2,0,3,10,2,2,3,0,0,0,30
7764,6,3,3,1010,4,1052,1,0,3,6,0,2,3,0,0,1,39
11102,6,3,4,1542,3,2073,2,0,3,7,2,2,3,349,0,1,22
8062,8,4,4,1004,5,1852,2,1,4,7,2,3,3,224,106,1,8
10146,4,3,3,1104,5,1788,1,0,3,8,2,1,3,120,0,1,20
12157,9,5,5,1734,5,2822,3,1,5,12,1,3,3,52,170,1,0
9782,6,4,3,1258,5,1258,2,0,4,5,0,2,3,55,0,1,4
14498,6,3,4,928,5,1764,2,1,4,7,0,2,3,276,99,1,12
10417,5,3,3,928,4,1920,2,0,3,10,0,2,2,0,0,1,57
10508,6,3,3,1392,3,1392,1,1,3,6,2,2,3,0,0,1,51
11080,10,5,5,2392,5,2392,2,0,5,8,1,3,3,248,105,1,6
5384,5,3,3,616,4,616,1,0,3,4,0,1,3,0,0,0,56
9750,8,4,5,1034,5,2078,2,1,5,8,1,3,3,0,102,0,0
4197,5,3,3,720,1,803,1,0,3,5,0,2,3,0,0,0,57
12848,6,3,3,1092,5,1152,1,0,4,6,1,1,3,0,36,1,5
7855,6,3,3,1127,3,1165,1,1,3,6,0,2,4,0,129,1,42
5228,4,2,0,0,2,1092,2,0,2,7,0,0,0,0,0,0,60
6472,7,3,3,994,4,1804,2,1,4,7,1,2,3,140,60,1,11
8970,7,3,3,570,4,1920,3,0,4,8,1,2,3,0,98,1,14
5243,4,3,3,672,3,1324,1,0,3,6,0,1,3,0,0,0,59
9150,8,4,4,1844,5,1844,2,0,4,7,1,2,3,165,44,1,3
13801,7,3,3,1501,3,1801,2,0,3,6,2,2,3,0,54,1,13
6096,4,3,3,864,3,864,1,0,4,5,0,2,3,96,0,1,39
8589,7,3,3,756,4,1717,1,0,4,7,1,3,3,0,35,1,36
8913,4,3,3,960,3,960,1,0,3,6,0,2,3,0,288,1,36
8592,5,3,3,728,5,1644,1,1,4,7,2,1,3,168,0,1,12
10963,8,4,5,1136,5,2468,2,1,4,10,1,3,3,184,154,1,3
13319,5,3,4,796,5,1362,1,1,3,5,0,2,3,40,30,1,14
9902,6,4,4,1298,3,1298,2,0,4,5,1,2,3,165,26,1,21
16755,8,4,3,916,4,1742,1,1,4,8,1,2,3,0,169,0,23
8790,6,3,4,1064,3,1350,2,0,3,7,1,2,3,0,0,1,35
4888,4,3,0,0,3,1152,2,0,2,6,0,0,0,0,0,1,53
3291,7,3,4,723,5,767,1,0,3,4,0,1,3,120,40,0,9
4111,5,3,3,540,4,1440,1,0,3,6,0,1,3,0,0,0,56
9141,5,3,3,1214,3,1214,2,0,3,5,1,1,3,0,111,1,40
21196,5,4,4,732,5,1838,2,1,3,7,1,2,3,100,40,1,1
9562,8,4,4,893,5,1801,2,1,4,8,1,3,3,0,116,1,1
6460,5,3,3,1040,2,1040,1,1,3,5,0,1,3,0,0,1,47
10307,7,3,4,1475,5,2329,2,1,4,10,1,2,3,192,121,1,18
8412,8,4,4,1588,5,1588,2,0,4,7,1,3,3,144,45,1,1
10383,8,4,4,1574,5,1574,2,0,4,7,1,3,3,144,104,1,2
5222,5,3,3,994,3,2372,2,0,3,11,0,1,3,0,287,0,44
12667,8,4,4,2033,5,3238,2,1,4,9,1,3,3,283,86,1,14
7932,5,4,4,870,5,914,1,0,3,5,0,2,3,0,0,1,10
8768,7,3,3,728,5,1641,1,1,5,6,1,2,3,0,0,0,16
5112,5,3,3,1078,3,1573,2,0,3,8,1,2,3,0,0,0,16
12643,7,3,4,1372,3,1472,2,0,3,6,2,2,3,233,48,1,29
8696,6,3,4,1054,4,1054,1,1,3,6,0,2,3,180,0,1,39
9903,8,4,4,866,5,1768,2,1,4,7,0,2,3,144,105,1,2
7804,6,3,4,1196,4,1196,1,0,3,6,1,1,3,0,44,1,52
9619,7,4,4,998,5,2046,2,1,4,8,1,3,3,320,62,1,4
6336,5,3,3,864,4,864,1,0,4,5,0,2,3,194,0,1,5
8030,5,3,3,948,3,948,1,0,3,6,0,1,3,147,0,1,39
6888,5,3,3,912,3,912,1,0,3,5,0,1,3,0,0,1,42
2520,7,4,5,1258,5,1402,0,2,4,7,1,3,3,120,16,1,0
1386,6,3,3,483,3,987,1,1,3,5,0,1,3,0,0,0,38
3652,5,3,3,793,5,1520,1,0,3,6,0,1,3,0,0,0,9
7657,4,3,2,836,3,1220,1,0,3,6,0,2,3,0,0,1,55
6987,7,4,4,1500,5,1500,2,0,4,6,0,2,3,192,36,1,5
23923,5,3,3,816,5,1416,2,0,4,7,0,2,3,0,0,1,0
17693,7,3,4,1947,3,2207,2,0,3,7,1,2,3,301,0,1,21
5554,7,4,4,1187,5,1208,2,0,4,6,0,2,3,105,61,1,4
13156,6,3,3,1144,5,1429,1,0,4,7,2,2,3,216,110,1,20
6271,4,3,4,1440,3,1440,2,0,3,8,0,0,0,321,0,1,30
9208,6,3,4,1212,5,1212,2,0,4,6,0,2,3,100,22,1,1
11123,7,5,3,944,4,999,1,0,5,6,0,2,3,144,76,1,1
7788,8,5,3,1142,5,2715,3,1,4,11,2,2,3,0,204,1,12
11871,4,3,3,864,3,864,1,0,3,5,0,2,3,216,0,1,36
9580,9,4,4,1626,5,1668,2,0,4,7,1,3,3,257,45,1,5
10489,7,3,3,1386,3,1411,2,0,3,6,1,2,3,192,0,1,32
14758,8,4,4,1288,5,2417,2,1,4,9,1,2,3,127,82,1,14
7242,4,3,3,948,5,948,1,0,3,5,1,1,3,0,36,1,53
10278,7,3,4,728,3,2019,1,0,4,8,0,2,3,509,135,1,16
12240,5,3,4,747,4,1784,1,1,3,9,0,1,2,203,40,1,56
3036,8,4,4,1554,5,1554,2,0,4,6,1,2,3,156,73,1,1
9983,6,3,2,952,3,2112,2,1,3,9,2,2,3,280,0,1,39
3938,4,3,3,747,3,1230,1,1,3,5,0,1,3,0,57,1,56
7883,6,3,4,616,5,1412,2,1,4,6,1,2,3,0,36,1,0
7979,6,3,3,1161,3,1381,1,1,4,5,1,2,3,0,0,1,4
7968,6,3,3,1240,4,1632,2,0,3,6,1,1,3,289,0,1,21
8533,4,3,4,1067,3,1067,2,0,4,4,0,2,3,290,0,1,15
6806,7,4,0,0,5,1922,3,0,4,7,1,2,3,0,0,1,6
10330,7,4,4,920,5,1786,2,1,4,6,1,2,3,0,42,1,6
8390,8,4,5,1686,5,1694,2,0,4,7,1,2,3,255,57,1,2
7028,6,3,3,972,5,972,1,0,3,5,1,1,3,0,0,1,7
7308,5,3,3,864,3,864,1,0,3,5,0,2,3,0,0,1,16
6073,6,3,3,780,3,1796,1,1,3,8,1,2,3,0,50,1,45
3578,6,4,4,848,5,848,1,0,4,3,1,2,3,149,0,0,4
8775,5,3,3,1070,3,1236,1,0,4,6,1,1,3,0,0,1,10
13215,5,3,0,0,4,2320,2,0,3,7,1,2,3,120,144,1,56
9774,8,4,5,1704,5,1704,2,0,4,7,1,3,3,0,50,1,2
9838,6,3,4,1193,3,1523,2,0,3,7,1,2,3,0,0,1,32
1678,7,4,4,1346,5,1504,2,0,4,7,1,2,3,156,20,1,2
6747,6,3,3,771,2,1494,1,0,4,7,2,1,3,0,0,1,59
9600,5,3,4,1200,3,1200,3,0,3,5,0,0,0,120,0,1,21
7668,5,2,3,540,3,1044,1,0,2,4,0,2,3,0,0,0,58
8884,6,3,3,1116,3,1116,1,1,3,5,0,2,3,0,0,1,48
20312,5,3,3,1324,5,1576,1,1,4,6,1,2,3,0,312,1,5
7927,6,4,4,864,5,1728,2,1,4,7,0,2,3,216,56,0,5
12630,8,4,4,1566,5,1600,2,0,4,7,1,3,3,0,56,1,2
12235,9,4,5,1922,5,1922,2,0,4,8,1,3,3,178,51,1,1
9193,7,3,4,384,5,1430,2,1,3,8,1,2,3,100,0,1,7
9440,8,4,4,1656,5,1656,2,0,4,7,0,3,3,0,146,0,1
9753,4,3,2,641,4,1047,1,0,3,6,0,1,2,0,0,0,12
18583,9,5,5,1848,5,2728,2,1,5,10,2,3,3,0,0,1,0
8750,6,3,3,1425,4,1425,2,0,3,7,1,2,3,0,0,1,44
6279,7,4,4,1221,5,1221,2,0,4,6,0,2,3,0,113,0,4
12578,5,3,4,990,5,990,1,0,3,5,0,2,3,224,0,1,11
20465,6,3,3,938,5,988,1,0,3,4,2,2,3,0,130,1,37
7095,7,4,4,1454,5,1434,2,0,4,6,1,2,3,290,39,1,8
