LotArea,OverallQual,ExterQual,BsmtQual,TotalBsmtSF,HeatingQC,GrLivArea,FullBath,HalfBath,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,GarageCond,WoodDeckSF,OpenPorchSF,MS_zoning_RL,ModernityInYears
17433,8,4,3,1629.0,5,2475,2,1,4,7,1,3.0,2,23,172,1,12
8987,8,4,2,1595.0,5,1595,2,0,4,6,1,3.0,2,144,0,1,4
9215,7,4,2,1218.0,5,1218,2,0,4,4,0,2.0,2,0,136,0,0
10440,6,4,3,1468.0,5,1468,2,0,4,6,1,2.0,2,0,102,0,5
11920,7,4,2,831.0,5,1659,2,1,4,8,0,2.0,2,144,68,1,6
9800,5,3,1,816.0,3,1012,1,0,3,5,0,1.0,2,121,0,0,60
15410,6,3,1,1208.0,5,1494,2,0,3,7,2,2.0,2,296,0,1,8
13143,8,4,2,1231.0,5,2349,2,1,4,9,1,3.0,2,32,130,1,17
11134,8,4,2,1390.0,5,2225,2,1,4,7,1,3.0,2,198,30,1,17
4835,7,4,3,1488.0,5,1488,2,0,4,6,1,2.0,2,168,50,0,5
3515,7,4,2,840.0,5,1680,2,1,4,3,0,2.0,2,0,111,0,6
3215,7,4,2,600.0,5,1200,2,1,4,4,0,2.0,2,0,172,0,6
2544,7,4,2,600.0,5,1200,2,1,4,4,0,2.0,2,0,172,0,5
2544,6,4,2,600.0,5,1236,2,1,4,4,0,2.0,2,0,166,0,5
2980,6,4,2,756.0,5,1512,2,1,4,5,0,2.0,2,0,32,0,10
2403,7,4,2,530.0,5,1080,2,1,4,4,0,2.0,2,0,50,0,7
12853,8,4,3,1642.0,5,1418,1,1,4,6,1,3.0,2,160,192,0,0
7379,8,4,2,975.0,5,1848,2,1,4,7,1,2.0,2,280,184,0,10
8000,7,4,2,1492.0,5,1492,2,0,4,6,1,2.0,2,277,137,0,8
10456,6,3,1,1829.0,4,1829,2,0,3,8,0,2.0,2,0,76,1,43
10791,6,3,2,1280.0,5,2495,2,1,4,9,1,2.0,2,224,32,1,17
18837,6,3,2,1224.0,3,1891,3,0,3,7,1,2.0,2,0,69,1,32
9600,6,3,1,715.0,3,1645,1,2,3,7,0,2.0,2,0,78,1,39
9600,5,3,1,1232.0,3,1232,1,1,3,6,0,2.0,2,0,224,1,44
9900,5,3,2,1209.0,4,1209,1,0,3,6,0,2.0,2,0,0,1,44
9680,5,3,1,1510.0,5,1510,2,0,4,6,0,2.0,2,0,40,1,43
10600,6,3,1,533.0,3,1775,2,0,3,8,0,2.0,2,0,172,1,46
13260,5,3,1,1728.0,3,1728,2,0,3,10,0,0.0,5,0,0,1,9
9724,5,4,1,1140.0,4,2461,2,0,3,7,2,2.0,2,0,0,1,8
17360,6,3,1,782.0,3,1556,2,0,3,6,1,2.0,2,0,0,1,60
11380,6,3,1,1080.0,4,1128,1,0,4,5,1,1.0,2,238,0,1,2
8267,5,3,1,1604.0,3,1604,2,0,3,8,0,2.0,2,42,0,1,52
8197,7,4,2,1480.0,5,1480,2,0,4,7,0,2.0,2,252,73,1,1
8050,5,3,1,1143.0,3,1143,1,0,3,6,0,1.0,2,0,0,1,51
10725,5,3,1,1206.0,2,1206,1,0,3,6,0,1.0,2,0,21,1,51
10032,6,3,1,1244.0,5,1580,1,1,3,6,2,2.0,2,0,28,1,51
8382,4,3,1,832.0,3,1337,1,0,3,5,0,1.0,2,0,0,1,54
10950,5,3,1,864.0,3,1064,1,0,2,4,0,1.0,2,0,0,1,58
10895,5,3,1,972.0,3,972,1,0,3,5,0,1.0,2,0,0,1,55
13587,5,3,1,988.0,3,988,1,0,3,5,0,1.0,2,0,0,1,52
7898,4,3,1,576.0,4,985,1,0,3,4,0,2.0,2,0,0,1,16
8064,6,3,1,816.0,3,1224,1,0,3,5,0,1.0,2,414,0,1,6
7635,5,3,1,1175.0,5,1175,1,1,3,6,0,2.0,2,0,0,1,50
9760,6,3,1,1395.0,3,1395,1,0,3,7,1,2.0,2,657,0,1,26
4800,4,3,1,709.0,3,1844,1,0,3,9,2,1.0,2,84,0,0,56
4485,5,3,1,936.0,3,936,1,0,3,5,1,0.0,5,51,0,0,60
5805,5,3,1,1347.0,4,1347,1,0,4,6,0,2.0,2,0,0,0,53
6900,6,3,2,827.0,4,1251,1,0,2,6,0,1.0,2,0,0,0,10
11851,5,3,1,1027.0,5,1633,1,0,4,7,1,1.0,2,0,100,0,1
8239,5,3,1,1008.0,3,1245,1,0,3,6,0,1.0,2,0,0,0,48
9656,2,3,0,678.0,3,832,1,0,3,5,1,2.0,1,0,0,0,40
9600,8,4,1,930.0,3,1566,2,0,4,7,0,1.0,2,54,228,0,7
9000,8,4,0,346.0,5,2268,3,0,4,7,0,2.0,2,0,108,0,8
9045,5,3,1,840.0,2,2256,2,0,2,12,0,0.0,5,0,18,0,60
10560,6,3,0,738.0,5,1470,1,1,3,6,0,2.0,2,0,0,0,16
5830,5,3,1,988.0,5,1612,1,1,3,7,0,1.0,2,0,0,0,13
7793,7,3,2,1108.0,3,2068,1,1,4,8,1,1.0,2,0,0,1,5
5000,4,3,1,765.0,3,765,1,0,4,4,0,1.0,2,135,0,0,60
6000,6,3,1,608.0,3,1132,1,0,3,5,0,1.0,2,0,0,0,60
6000,6,3,1,572.0,5,1196,1,1,3,6,2,2.0,2,0,0,0,60
6360,5,3,1,835.0,3,1453,1,1,4,7,2,1.0,2,0,0,0,60
6000,6,3,1,780.0,3,1416,1,1,3,6,0,1.0,2,221,0,0,60
6240,5,3,1,528.0,4,1040,1,0,3,5,0,2.0,2,306,0,0,30
6240,5,3,1,928.0,3,1536,2,0,3,7,1,2.0,2,0,10,0,60
6120,6,3,0,1124.0,3,1068,1,0,3,5,1,1.0,2,0,0,0,60
8094,4,3,1,888.0,5,1962,1,1,3,9,1,2.0,2,160,0,0,60
12900,6,4,1,780.0,5,1560,1,1,4,7,0,0.0,5,344,0,0,1
3068,6,3,1,662.0,5,1324,1,0,3,6,0,1.0,2,0,0,0,17
15263,5,3,2,1422.0,4,1675,2,0,3,8,2,1.0,2,0,132,1,51
10632,5,3,2,689.0,4,1224,1,1,3,6,0,1.0,1,0,0,1,60
9900,5,2,1,1212.0,3,1392,1,0,3,6,0,0.0,5,0,0,1,60
6001,6,3,0,600.0,5,919,1,0,3,5,0,1.0,2,0,0,1,60
6449,4,3,1,707.0,3,1884,1,1,3,7,0,0.0,5,0,0,0,60
6048,5,3,1,856.0,4,1680,2,0,3,7,1,2.0,1,56,144,0,60
10773,4,2,1,1832.0,3,1832,2,0,3,8,0,0.0,5,0,58,1,43
7800,5,3,1,864.0,5,892,1,0,4,5,0,1.0,2,0,0,1,2
7832,5,3,1,864.0,5,864,1,0,3,4,0,1.0,2,226,0,1,42
7424,5,3,2,1319.0,3,1373,1,0,3,5,2,2.0,2,0,0,1,32
11227,5,3,1,720.0,5,1440,1,1,3,7,2,2.0,2,192,38,1,42
20062,7,4,2,1420.0,4,1483,1,1,3,4,2,2.0,2,496,0,1,9
9259,4,3,0,660.0,3,756,1,0,3,4,0,2.0,2,80,0,1,60
17082,6,3,2,1117.0,5,1981,2,1,4,8,1,2.0,2,336,104,1,18
18600,3,3,1,972.0,3,1610,2,0,2,8,1,1.0,2,0,0,1,20
11479,6,3,1,663.0,5,1074,1,0,4,6,1,1.0,2,0,52,1,23
9350,4,3,1,756.0,5,1531,1,0,3,8,1,1.0,2,0,0,1,31
9525,5,3,1,1172.0,3,1172,1,0,3,5,0,1.0,2,240,0,1,12
17485,7,4,2,1508.0,5,1508,1,0,4,5,2,2.0,2,0,0,1,0
11200,5,3,1,1250.0,5,1298,2,0,3,5,0,2.0,1,0,144,1,46
11980,7,4,2,1433.0,5,1433,1,1,4,4,2,2.0,3,0,278,1,23
12361,6,4,2,946.0,5,1802,2,1,4,8,1,4.0,2,450,92,1,17
7360,7,4,2,1222.0,5,1222,2,0,4,6,0,2.0,2,0,54,1,0
14235,6,3,0,676.0,3,1445,2,0,3,6,0,2.0,2,0,59,1,17
11105,5,3,2,870.0,4,965,1,0,3,4,0,2.0,2,71,0,1,14
9337,7,3,2,878.0,5,1692,2,1,3,8,1,2.0,2,0,39,1,12
15240,5,4,2,1026.0,5,1026,1,1,3,5,0,1.0,2,316,85,1,6
7480,5,3,1,876.0,3,876,1,0,3,5,0,2.0,2,0,0,1,38
10389,8,4,2,1978.0,5,1978,2,1,4,8,1,3.0,2,188,25,1,7
9375,7,4,2,1040.0,5,2098,2,1,4,9,1,2.0,2,331,38,1,13
4435,6,4,2,848.0,5,848,1,0,4,4,0,2.0,2,140,0,0,7
8777,3,3,4,0.0,3,640,1,0,3,5,0,1.0,2,0,0,1,3
8842,5,3,0,381.0,5,992,1,0,3,6,0,1.0,2,60,0,1,56
10044,5,3,2,1196.0,3,1196,1,0,3,6,0,1.0,2,257,0,1,42
11792,4,3,1,744.0,5,1120,1,0,2,5,0,2.0,1,0,0,1,60
6305,6,3,1,1008.0,3,1096,1,0,3,5,1,1.0,2,0,0,1,35
6410,4,3,1,960.0,5,960,1,0,3,5,0,0.0,5,0,0,1,52
4853,5,3,1,1107.0,2,1296,2,0,2,5,1,1.0,2,0,0,1,11
7890,6,3,1,856.0,3,856,1,0,3,4,1,2.0,2,0,0,1,60
7200,4,3,4,0.0,3,2650,3,0,3,10,0,0.0,5,0,0,0,43
9839,5,3,1,894.0,5,1666,1,0,3,7,1,0.0,5,0,156,1,60
10452,7,4,2,1528.0,5,2133,1,1,3,8,2,1.0,2,0,0,1,25
15600,5,3,1,1032.0,5,2177,2,1,3,11,0,2.0,2,0,0,1,19
19645,7,3,2,423.0,5,1652,2,1,4,6,0,2.0,2,0,0,1,3
3907,8,4,2,982.0,4,1034,1,0,4,4,1,2.0,2,141,36,0,21
3907,8,4,2,1191.0,4,1191,2,0,4,5,1,2.0,2,112,81,0,21
8154,2,3,1,480.0,3,540,1,0,3,4,0,1.0,1,0,0,0,60
9140,6,3,1,629.0,2,1107,1,0,3,5,0,1.0,2,0,56,0,35
8712,4,2,1,756.0,4,952,1,0,3,5,0,1.0,2,0,0,0,60
3811,8,4,3,1594.0,5,1646,2,0,4,5,1,2.0,2,128,53,0,5
11050,8,4,2,1049.0,5,1916,2,1,4,8,1,3.0,2,0,70,1,11
9620,6,3,1,1243.0,3,1285,2,0,4,6,1,2.0,2,375,26,1,33
12760,6,3,1,1958.0,3,2048,3,0,3,9,0,2.0,2,0,0,1,34
11896,7,4,2,1336.0,5,1346,2,0,4,6,1,3.0,2,100,48,1,2
9803,7,4,2,1214.0,5,1214,2,0,4,6,0,2.0,2,0,25,1,0
9802,5,3,2,384.0,4,1444,2,1,3,7,0,2.0,2,100,0,1,3
15300,5,3,1,1068.0,3,1264,1,0,3,7,1,2.0,2,0,0,1,33
10114,5,3,3,1430.0,5,1430,2,0,4,7,0,2.0,2,0,0,1,5
11875,5,3,2,1344.0,5,1344,2,0,3,7,1,2.0,2,328,0,1,11
2394,5,3,2,945.0,5,945,1,0,3,5,1,1.0,2,174,0,0,37
1476,4,3,1,546.0,5,1092,1,1,3,5,0,0.0,5,200,26,0,40
1900,4,3,1,546.0,5,1092,1,1,3,5,0,0.0,5,0,0,0,40
1890,4,3,1,546.0,3,1092,1,1,3,5,0,1.0,2,0,0,0,38
6953,5,3,1,864.0,5,874,1,0,3,5,0,1.0,2,0,0,1,6
12887,5,3,2,833.0,3,833,1,0,4,5,0,2.0,2,431,0,1,26
7700,5,3,1,1216.0,4,2432,4,2,3,10,0,2.0,1,200,0,1,24
10475,5,3,2,624.0,4,1274,1,1,3,6,0,2.0,2,22,0,1,19
10544,5,3,1,864.0,3,1479,2,0,3,8,0,1.0,2,287,0,1,41
9892,8,4,2,1679.0,5,1803,2,1,4,6,2,2.0,2,129,64,1,15
12961,6,4,2,1152.0,5,1797,2,1,4,7,1,2.0,2,162,312,1,16
13008,6,3,0,882.0,3,882,1,0,3,5,0,1.0,2,0,0,1,53
10200,6,3,1,1434.0,3,1434,2,0,3,7,1,2.0,2,80,21,1,35
10179,6,3,2,945.0,5,1608,2,1,3,7,1,2.0,2,252,30,1,12
11792,8,4,2,1008.0,5,2283,2,1,4,9,1,3.0,2,120,46,1,6
8400,7,3,2,384.0,4,1628,2,1,3,7,1,2.0,2,48,72,1,12
7296,8,4,3,2208.0,5,2522,2,0,4,8,1,2.0,2,182,57,1,4
7380,8,3,2,1418.0,5,1478,2,0,3,5,0,2.0,2,168,43,1,11
8013,8,4,2,1587.0,5,1734,2,0,4,6,0,2.0,2,52,50,1,13
8923,7,4,2,384.0,4,1382,2,1,3,7,1,2.0,2,256,0,1,11
7500,6,4,2,952.0,4,1636,2,1,3,7,1,2.0,2,0,84,1,10
8803,6,3,2,707.0,4,1516,2,1,4,7,1,2.0,2,0,46,1,14
7250,6,3,2,1181.0,5,1190,2,0,4,6,1,2.0,2,0,21,1,16
11900,5,3,2,1122.0,5,1934,2,1,3,6,1,2.0,2,0,176,1,32
13250,7,3,2,832.0,3,2050,2,1,4,8,1,2.0,2,192,192,1,31
10928,6,3,1,1427.0,3,1671,2,0,3,7,1,2.0,2,252,55,1,23
12388,7,3,2,1043.0,3,2673,2,1,4,9,1,2.0,2,178,84,1,18
11088,6,3,1,1140.0,4,1707,2,0,3,7,1,2.0,2,0,0,1,11
7000,7,4,2,926.0,5,1884,2,1,5,7,1,2.0,2,0,35,0,6
7500,8,4,2,1058.0,5,1874,2,1,4,7,1,2.0,2,0,134,0,8
8470,8,4,2,972.0,5,1811,2,1,4,7,1,2.0,2,225,48,0,7
9373,5,3,2,1621.0,3,1621,2,0,3,7,2,2.0,2,0,0,1,34
10140,6,3,1,1116.0,5,1116,2,0,3,6,1,2.0,2,0,0,1,35
11050,7,3,1,1176.0,2,1193,2,0,3,5,1,2.0,2,40,0,1,34
7830,5,3,1,1180.0,3,1180,1,1,3,6,0,2.0,2,0,45,1,39
8510,5,3,2,1043.0,5,1050,1,1,3,6,0,1.0,2,0,0,1,38
7038,4,3,1,864.0,3,864,1,0,3,5,0,2.0,2,210,0,1,39
9000,4,3,1,864.0,4,864,1,0,3,5,0,2.0,2,200,0,1,3
1680,6,3,1,483.0,3,987,1,1,3,5,0,1.0,2,0,0,0,36
1680,6,3,1,483.0,3,987,1,1,3,5,0,1.0,2,0,0,0,37
2308,6,3,2,804.0,3,1548,2,1,3,7,1,2.0,2,108,0,1,33
2280,7,3,2,1057.0,3,1055,2,0,3,4,1,2.0,2,0,27,1,34
2349,6,3,2,855.0,3,1456,2,1,3,6,1,2.0,2,0,28,1,32
2364,6,3,2,804.0,3,1548,2,1,3,7,1,2.0,2,108,0,1,31
2364,6,4,2,855.0,3,1456,2,1,3,6,1,2.0,2,147,0,1,31
2104,7,3,1,836.0,3,836,1,0,3,5,0,1.0,2,150,20,1,33
10710,5,4,1,864.0,5,1120,1,0,3,5,1,2.0,2,0,162,1,5
14257,9,5,3,1776.0,5,2772,3,1,5,10,3,3.0,2,135,64,1,2
12350,9,4,3,1365.0,5,2690,2,1,5,8,1,3.0,2,0,197,1,0
12350,9,5,3,2020.0,5,2020,2,0,5,7,1,3.0,2,192,98,1,1
13693,10,5,3,2630.0,5,2674,2,1,5,8,2,3.0,2,360,50,1,2
11578,9,5,3,1736.0,5,1736,2,0,5,7,1,3.0,2,319,90,1,1
16870,8,4,3,1782.0,5,1782,2,0,4,7,2,3.0,2,99,82,1,4
23303,8,4,3,1508.0,5,2520,2,1,5,10,1,3.0,2,192,273,1,2
10367,9,5,3,1739.0,5,1743,2,0,5,8,1,3.0,2,168,45,1,1
10872,9,4,3,1504.0,5,1531,2,0,5,6,1,3.0,2,184,52,1,3
13514,9,5,3,1774.0,5,1808,2,0,5,7,1,3.0,2,200,26,1,1
12878,7,4,2,1760.0,5,1760,2,0,4,8,1,2.0,2,165,190,1,5
15274,9,4,3,2452.0,5,2452,2,0,5,10,1,3.0,2,0,116,1,6
13262,8,4,2,1082.0,5,2400,3,1,4,10,1,3.0,2,114,40,1,5
9658,8,4,2,1598.0,4,1606,2,0,4,6,1,3.0,2,230,60,1,3
6904,6,4,2,1358.0,5,1358,2,0,4,6,1,2.0,2,192,36,1,4
5122,6,4,2,1306.0,5,1306,2,0,4,5,1,2.0,2,170,63,1,4
10307,7,4,2,1350.0,5,1358,2,0,4,6,1,2.0,2,192,26,1,1
14836,10,5,3,2492.0,5,2492,2,1,5,8,1,3.0,2,226,235,1,4
15262,8,4,3,2200.0,5,2200,2,1,5,8,1,3.0,2,208,55,1,5
7390,9,5,3,1884.0,5,1884,2,0,5,6,1,2.0,2,231,90,1,0
6472,9,5,3,1451.0,5,1456,2,0,5,6,1,2.0,2,192,42,1,1
16770,8,4,3,1712.0,5,1712,2,0,4,8,1,3.0,2,218,183,1,6
3480,7,4,2,1405.0,5,1405,2,0,4,6,1,2.0,2,148,36,1,6
10928,7,4,2,728.0,5,1456,2,1,4,8,1,2.0,2,100,0,1,4
8918,6,4,2,745.0,5,1490,2,1,4,7,1,2.0,2,36,20,1,3
3182,7,4,2,1220.0,5,1220,2,0,4,5,1,2.0,2,100,16,1,3
9434,7,4,2,384.0,5,1374,2,1,4,6,1,2.0,2,100,0,1,4
7984,7,4,2,868.0,5,1630,2,1,4,7,1,2.0,2,120,48,1,4
10125,7,4,2,846.0,5,1594,2,1,4,7,1,2.0,2,300,48,1,5
8965,7,4,2,782.0,5,1489,2,1,4,8,1,2.0,2,0,75,1,6
8174,7,4,2,698.0,5,1342,2,1,4,7,1,2.0,2,100,56,1,6
12891,8,4,3,870.0,5,2004,2,1,4,8,1,3.0,2,0,48,1,7
9734,7,4,2,384.0,5,1374,2,1,4,7,0,2.0,2,0,0,1,5
8433,6,3,2,794.0,5,1514,2,1,3,7,1,2.0,2,0,72,1,9
7750,7,3,2,384.0,5,1430,2,1,3,7,1,2.0,2,0,0,1,9
15896,7,4,2,1177.0,5,2312,2,1,4,8,1,3.0,2,298,0,1,10
7848,7,3,1,384.0,5,1430,2,1,3,7,1,2.0,2,0,0,1,10
12720,8,4,2,1455.0,5,2687,2,1,4,10,2,3.0,2,252,30,1,9
10750,8,4,2,2024.0,5,2063,2,0,4,7,2,3.0,2,182,56,1,14
9085,7,4,2,1070.0,5,2061,2,1,4,7,1,2.0,2,296,102,1,13
11692,8,4,2,1173.0,5,2232,2,1,4,8,1,2.0,2,173,165,1,15
11194,8,4,2,1696.0,5,1696,2,0,4,7,0,3.0,2,120,56,1,1
10206,8,4,2,1614.0,5,1658,2,1,4,7,1,3.0,2,144,44,1,1
10130,8,4,2,1702.0,5,1702,2,0,4,7,1,3.0,2,0,69,1,2
9139,8,4,3,1422.0,5,1432,2,0,4,7,1,2.0,2,297,50,1,3
11128,9,5,3,2458.0,5,2490,2,0,5,9,2,3.0,2,70,226,1,3
7993,7,4,3,1436.0,5,1436,2,0,4,6,0,2.0,2,0,121,0,0
8640,7,4,2,1402.0,5,1402,2,0,4,7,0,2.0,2,205,126,0,1
12606,9,4,2,1530.0,5,1530,2,0,4,7,1,3.0,2,212,136,0,1
7500,8,4,2,1372.0,5,1448,2,0,4,6,1,2.0,2,0,140,0,2
10603,8,4,3,900.0,5,1795,2,1,4,8,1,3.0,2,168,45,0,3
8125,8,4,2,1836.0,5,1836,2,0,4,8,1,2.0,2,0,175,0,0
10625,7,4,2,1652.0,5,1662,2,0,5,8,1,3.0,2,168,120,0,2
8736,7,4,2,1553.0,5,1553,2,0,4,6,0,2.0,2,192,88,0,5
8127,7,4,2,812.0,5,1653,2,1,4,6,0,2.0,2,0,45,0,6
9605,7,4,2,1218.0,5,1218,1,1,4,6,0,2.0,2,0,178,1,2
7500,7,4,2,1141.0,5,1141,1,1,4,6,0,2.0,2,182,0,1,3
7500,6,3,2,1158.0,5,1158,1,1,4,5,0,0.0,5,0,50,1,5
10628,7,4,2,835.0,5,1812,2,1,4,8,0,2.0,2,146,91,1,5
10141,8,4,2,1512.0,5,1512,2,0,4,6,0,3.0,2,210,36,1,5
13072,7,4,2,1114.0,5,1114,1,1,4,6,0,2.0,2,248,102,1,4
13072,5,3,2,1114.0,5,1114,1,1,4,6,0,0.0,5,0,39,1,5
12450,5,3,2,1114.0,5,1114,2,0,4,6,0,2.0,2,0,42,1,5
7328,7,4,2,1450.0,5,1450,2,0,4,6,0,3.0,2,0,93,1,0
11492,7,4,2,913.0,5,2122,2,1,4,8,1,2.0,2,0,74,1,12
7703,6,4,2,816.0,5,1730,2,1,4,6,0,2.0,2,0,91,1,17
7175,6,4,2,1332.0,4,1332,2,0,4,5,0,2.0,2,0,60,1,18
9109,7,4,2,754.0,5,1540,2,1,4,6,0,2.0,2,140,32,1,15
10274,6,3,2,676.0,3,1400,2,1,3,6,0,2.0,2,0,48,1,23
8250,6,3,4,0.0,3,1882,2,0,3,8,2,2.0,2,0,0,1,28
9750,5,3,1,980.0,4,980,1,0,3,5,0,2.0,2,0,28,1,47
8499,5,3,1,864.0,5,864,1,0,3,5,0,2.0,2,0,312,1,48
9079,5,3,1,864.0,3,864,1,0,3,5,0,1.0,2,158,0,1,48
9316,5,3,1,1024.0,4,1020,2,0,3,5,0,1.0,2,171,0,1,44
7791,5,4,1,912.0,5,912,1,0,4,6,0,1.0,2,0,0,1,14
7150,5,3,1,912.0,4,912,1,0,3,6,0,1.0,2,0,0,1,47
15676,8,4,2,2014.0,4,2014,2,0,4,6,2,3.0,2,462,0,1,29
11949,7,4,2,975.0,5,1755,2,1,4,7,1,2.0,2,502,60,1,1
2880,7,4,2,1376.0,5,3005,2,1,4,9,1,3.0,2,0,177,0,4
3830,6,4,2,1726.0,5,1726,2,1,4,6,1,2.0,2,0,254,0,1
4217,6,4,2,1145.0,5,1256,1,1,4,5,1,2.0,2,0,169,0,1
2998,6,4,2,756.0,5,1512,2,1,4,4,0,2.0,2,0,32,0,9
3768,7,4,2,691.0,5,1452,2,1,4,6,0,2.0,2,0,34,0,10
14694,8,5,2,1694.0,5,1694,2,0,5,5,1,2.0,2,501,120,1,1
15417,7,4,2,1740.0,3,1740,1,1,4,7,0,2.0,2,228,20,1,28
9600,8,4,1,392.0,5,2499,2,1,3,5,1,2.0,2,0,64,1,33
12732,7,3,1,752.0,3,2067,2,1,4,7,2,2.0,2,297,40,1,35
10400,6,3,1,932.0,4,2640,2,1,4,8,1,2.0,2,0,120,1,12
9600,5,3,2,1288.0,3,1336,2,0,3,6,1,2.0,2,312,11,1,40
9000,6,3,1,1216.0,3,1216,1,0,3,5,0,1.0,2,0,0,1,40
13774,7,3,2,908.0,5,2288,1,2,4,8,2,2.0,2,321,72,1,17
7130,5,3,1,864.0,3,864,1,0,3,5,0,1.0,2,0,0,1,42
9600,5,3,1,1568.0,3,1568,1,1,3,7,0,2.0,2,160,40,1,42
9600,7,3,1,1165.0,4,2061,2,1,3,8,1,2.0,2,0,77,1,35
16500,6,3,2,1232.0,2,1320,2,0,3,5,1,2.0,2,0,20,1,38
7436,4,3,1,894.0,4,894,1,0,3,5,1,2.0,2,0,0,1,49
8125,5,3,1,864.0,5,864,1,0,3,5,0,1.0,2,0,0,1,50
9450,4,3,1,1040.0,3,1362,1,0,3,6,1,3.0,2,0,0,1,52
13495,5,3,1,1048.0,2,1728,2,0,3,7,1,2.0,2,0,99,1,53
9350,5,3,1,1313.0,3,1313,1,1,4,6,1,2.0,2,172,28,1,14
10500,5,3,1,1292.0,3,1292,1,1,3,6,2,2.0,2,0,32,1,45
8970,5,3,1,744.0,3,2140,2,1,3,7,1,2.0,2,0,40,1,44
11475,6,3,1,1208.0,5,1576,1,0,4,7,1,2.0,2,85,0,1,48
9768,5,3,1,960.0,4,960,1,0,3,5,0,1.0,2,0,70,1,54
9900,6,4,1,1680.0,3,1691,1,0,3,5,0,2.0,2,0,67,1,42
10573,6,3,1,1453.0,5,1453,2,0,3,6,1,2.0,2,0,49,1,48
14695,6,3,1,1562.0,4,1567,2,0,4,5,2,2.0,2,0,110,1,1
8760,5,4,1,1169.0,3,1144,1,0,3,6,0,1.0,2,257,0,1,53
12285,7,3,1,1329.0,4,1329,1,1,3,5,2,2.0,2,0,0,1,49
9240,6,4,1,988.0,3,988,2,0,4,6,0,1.0,2,156,0,1,11
8750,5,3,1,1202.0,3,1202,1,0,3,6,0,1.0,2,0,35,1,53
8750,5,3,1,1382.0,4,1382,1,0,4,6,0,1.0,2,280,0,1,54
10400,4,3,1,1200.0,3,1200,1,0,3,6,2,1.0,2,0,189,1,53
9482,5,3,1,1866.0,5,1866,2,0,3,8,0,2.0,1,0,0,1,51
8128,6,3,1,1062.0,4,1062,1,0,3,6,0,1.0,2,0,0,1,55
13070,5,3,1,631.0,3,1112,1,0,3,5,0,2.0,2,0,0,1,58
8480,5,3,1,793.0,3,793,1,0,2,4,0,1.0,2,0,0,1,59
7626,5,4,1,1031.0,4,1031,1,0,4,5,0,1.0,2,0,0,1,4
9533,5,3,4,0.0,3,1210,1,1,3,7,0,1.0,2,208,0,1,56
11419,7,3,1,699.0,5,1527,1,1,3,6,1,2.0,2,0,0,1,10
9600,5,3,1,1200.0,3,1200,1,0,3,6,0,1.0,2,126,0,1,59
5470,3,3,1,792.0,4,792,1,0,3,4,0,1.0,2,0,90,1,51
10800,5,3,1,676.0,5,1352,2,0,4,7,0,2.0,2,187,0,1,3
